,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
Field,650694.000,717179.000,295743.000,994504.000,491126.000,,,,,,,,,,,,586407.040,845764.200,960543.670,433311.680,557413.590,775870.940,915954.130,723933.030,,,,,,,,
T0,669779.000,1045896.000,707478.000,843816.000,551106.000,,,,,,,,,,,,388031.660,915884.440,882979.370,864115.010,790404.090,910359.020,1109709.290,1092372.400,,,,,,,,
27,565154.000,1031229.000,512698.000,841933.000,825052.000,544510.000,719681.000,411387.000,911222.000,614174.000,,,,,,,215175.000,668565.000,979797.000,760917.000,882389.000,915691.000,833248.000,918635.000,637483.000,566992.000,785575.000,548138.000,681224.000,752954.000,1210693.000,997360.000
29.5,591533.000,494097.000,697411.000,570865.000,567007.000,505754.000,859808.000,418199.000,880733.000,727054.000,,,,,,,376901.000,613976.000,606248.000,661540.000,401104.000,592154.000,538898.000,592593.000,570566.000,959760.000,986467.000,719764.000,712946.000,717097.000,1181241.000,832692.000
32,1224815.000,560141.000,281169.000,601068.000,813124.000,559511.000,758316.000,448046.000,815326.000,591420.000,,,,,,,411059.000,613759.000,566539.000,459771.000,520882.000,388361.000,1059061.000,511554.000,811050.000,635880.000,670590.000,585345.000,548250.000,452745.000,1003680.000,713775.000
34.5,333105.000,297248.000,463369.000,461442.000,643468.000,257643.000,648711.000,220742.000,189364.000,574109.000,,,,,,,123320.000,312010.000,45398.000,329468.000,235719.000,60570.000,191839.000,294757.000,31340.000,146517.000,130860.000,189967.000,278370.000,42523.000,205367.000,113676.000
