,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
Field,5.818,5.224,1.321,6.327,6.557,,,,,,,,,,,,5.417,4.962,6.133,2.456,5.607,,5.670,4.751,,,,,,,,
T0,6.241,6.474,3.076,3.214,3.377,,,,,,,,,,,,4.683,5.953,4.614,4.582,8.283,4.038,6.911,5.686,,,,,,,,
27,4.095,6.185,1.800,6.547,4.147,4.973,3.103,1.269,4.890,3.074,,,,,,,3.217,4.972,5.632,3.962,5.510,5.071,5.424,6.121,4.003,3.858,5.463,2.386,3.604,3.690,8.160,6.291
29.5,3.315,2.898,2.098,2.926,2.941,3.663,5.261,1.812,4.221,4.315,,,,,,,3.114,5.809,3.869,3.706,4.342,3.530,3.431,4.782,5.022,7.828,6.485,4.416,6.695,4.404,8.243,6.595
32,6.541,4.048,1.183,2.440,4.153,3.851,1.947,1.110,4.222,2.035,,,,,,,3.090,4.762,2.664,2.814,3.256,2.474,6.343,3.507,3.169,4.643,3.116,3.763,4.247,2.352,12.857,2.449
34.5,1.971,1.456,1.913,2.986,2.224,1.595,3.923,0.593,0.755,3.315,,,,,,,1.640,2.317,1.106,2.184,1.666,0.254,1.575,1.961,0.212,1.116,0.942,1.557,1.874,0.372,1.734,0.745
