,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
Field,0.339,0.418,0.261,0.464,0.327,,,,,,,,,,,,0.264,0.361,0.363,0.207,0.365,0.373,0.398,0.384,,,,,,,,
T0,0.389,0.473,0.258,0.280,0.426,,,,,,,,,,,,0.291,0.345,0.281,0.435,0.363,0.258,0.449,0.476,,,,,,,,
27,0.299,0.487,0.300,0.450,0.196,0.500,0.445,0.277,0.420,0.280,,,,,,,0.274,0.485,0.405,0.397,0.263,0.384,0.312,0.463,0.537,0.224,0.338,0.185,0.274,0.332,0.499,0.457
29.5,0.312,0.400,0.230,0.235,0.282,0.262,0.474,0.171,0.407,0.327,,,,,,,0.303,0.349,0.274,0.213,0.256,0.289,0.275,0.274,0.311,0.413,0.372,0.300,0.297,0.275,0.406,0.309
32,0.734,0.414,0.325,0.305,0.307,0.285,0.375,0.232,0.402,0.188,,,,,,,0.348,0.356,0.294,0.259,0.341,0.241,0.688,0.336,0.301,0.364,0.306,0.332,0.304,0.347,,0.168
34.5,0.229,0.202,0.349,0.258,0.398,0.117,0.299,0.236,0.149,0.413,,,,,,,0.147,0.419,0.343,0.527,0.085,0.000,0.500,0.283,0.000,0.060,0.008,0.242,0.000,0.000,0.004,0.000
