,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,588405.000,584812.000,,627648.000,610851.000,834820.000,594038.000,452034.000,939669.000,736098.000,,,,,,,446456.000,790126.000,1232732.000,640851.000,740265.000,833840.000,1000132.000,370665.000,473660.000,535022.000,517108.000,570649.000,423234.000,812169.000,880398.000,624469.000
29.5,506313.000,755738.000,308860.000,596838.000,425579.000,502666.000,690121.000,543035.000,412351.000,594504.000,,,,,,,436592.000,575142.000,747931.000,641323.000,675865.000,400833.000,856486.000,926113.000,632034.000,865463.000,773825.000,706898.000,597502.000,918875.000,1160146.000,601213.000
32,529906.000,574117.000,631185.000,696337.000,588871.000,555390.000,771315.000,677387.000,593981.000,725211.000,,,,,,,385225.000,399212.000,344301.000,677288.000,415278.000,343135.000,682996.000,215561.000,413250.000,541805.000,404383.000,557667.000,604997.000,623518.000,1213452.000,511513.000
34.5,25898.000,568223.000,141159.000,208800.000,53575.000,3219.000,318590.000,187078.000,77281.000,336291.000,,,,,,,2288.000,1151.000,99.000,475.000,4335.000,1400.000,4157.000,1103.000,1331.000,1475.000,708.000,3425.000,8519.000,2668.000,4454.000,427.000
