,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,6.324,4.689,,2.587,2.829,4.565,3.624,1.602,4.473,2.632,,,,,,,3.296,5.189,7.106,3.385,4.810,3.871,6.302,2.743,2.102,4.039,2.560,3.298,4.115,3.676,4.395,4.405
29.5,4.726,4.209,1.392,4.196,1.657,3.182,3.249,1.641,1.554,2.781,,,,,,,3.136,4.140,4.287,3.263,5.580,1.726,4.320,6.185,4.482,6.912,5.128,3.951,5.883,4.658,8.784,3.681
32,2.896,2.402,3.233,3.237,2.506,2.671,2.648,2.420,3.859,3.349,,,,,,,2.185,3.227,1.551,2.454,3.066,1.407,3.175,1.083,2.067,2.281,1.652,3.062,2.612,2.123,4.870,3.005
34.5,,2.514,0.511,2.140,0.457,0.248,2.434,1.273,0.694,1.442,,,,,,,0.639,0.048,0.005,0.023,0.376,0.071,0.629,0.044,0.109,0.133,0.063,0.197,0.248,0.098,0.268,0.046
