,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,0.275,0.483,,0.351,0.245,0.347,0.414,0.293,0.459,0.310,,,,,,,0.418,0.511,0.410,0.267,0.318,0.352,0.434,0.261,0.337,0.338,0.253,0.362,0.292,0.322,0.470,0.373
29.5,0.367,0.423,0.312,0.550,0.214,0.240,0.459,0.307,0.405,0.322,,,,,,,0.310,0.395,0.379,0.350,0.360,0.229,0.411,0.479,0.532,0.427,0.379,0.344,0.355,0.306,0.478,0.252
32,0.323,0.285,0.264,0.319,0.293,0.260,0.371,0.281,0.393,0.281,,,,,,,0.337,0.421,0.364,0.305,0.378,0.165,0.583,0.157,0.336,0.416,0.288,0.344,0.379,0.274,0.439,0.377
34.5,0.014,0.175,0.106,0.104,0.021,0.000,0.087,0.042,0.012,0.204,,,,,,,0.021,0.187,0.341,0.285,0.007,0.014,0.019,0.077,0.006,0.005,0.005,0.008,0.006,0.009,0.011,0.009
