,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,10.747,8.018,,4.122,4.632,5.468,6.101,3.545,4.76,3.576,,,,,,,7.382,6.567,5.764,5.282,6.497,4.642,6.301,7.4,4.437,7.55,4.95,5.779,9.722,4.526,4.993,7.054
29.5,9.335,5.569,4.507,7.031,3.893,6.331,4.708,3.022,3.769,4.678,,,,,,,7.183,7.198,5.731,5.088,8.255,4.305,5.044,6.679,7.092,7.987,6.627,5.589,9.846,5.069,7.571,6.123
32,5.465,4.184,5.122,4.648,4.256,4.809,3.434,3.573,6.496,4.618,,,,,,,5.671,8.084,4.505,3.623,7.382,4.101,4.649,5.025,5.002,4.21,4.084,5.491,4.317,3.405,4.013,5.874
34.5,,4.424,3.622,10.249,8.529,76.918*,7.64,6.807,8.986,4.288,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Numbers with asterisks denote outliers ommitted from analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
