PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,25763,12,5,58,22.01,21.75,21.75,OFF,22.01,21.94,21.94,CHL,22.01,21.81,21.81,CHL,22.01,21.69,21.69,OFF,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,31429,12,6,3,22.01,21.75,21.75,HTR,22.01,22.00,22.00,CHL,22.01,21.87,21.87,CHL,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,36918,12,6,9,22.01,21.75,21.75,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,42404,12,6,14,22.01,21.75,21.75,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,47894,12,6,20,22.01,21.75,21.75,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,53382,12,6,25,22.01,21.81,21.81,CHL,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,58870,12,6,31,22.01,21.75,21.75,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.69,21.69,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,64358,12,6,37,22.01,21.81,21.81,CHL,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.75,21.75,OFF,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,70742,12,6,43,22.01,21.81,21.81,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,76229,12,6,48,22.01,21.81,21.81,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,81717,12,6,54,22.01,21.81,21.81,HTR,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,22.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,87206,12,6,59,22.01,21.81,21.81,HTR,22.01,22.00,22.00,HTR,22.01,21.94,21.94,CHL,22.01,21.75,21.75,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,92695,12,7,5,22.01,21.87,21.87,CHL,22.01,22.00,22.00,HTR,22.01,21.94,21.94,HTR,22.01,21.81,21.81,CHL,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,98184,12,7,10,22.01,21.87,21.87,HTR,22.01,22.00,22.00,HTR,22.01,21.94,21.94,HTR,22.01,21.81,21.81,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,103674,12,7,16,22.01,21.87,21.87,HTR,22.01,22.06,22.06,CHL,22.01,21.94,21.94,HTR,22.01,21.81,21.81,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,109165,12,7,21,22.01,21.87,21.87,HTR,22.01,22.06,22.06,CHL,22.01,22.00,22.00,CHL,22.01,21.87,21.87,CHL,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,114657,12,7,27,22.01,21.87,21.87,HTR,22.01,22.06,22.06,CHL,22.01,21.94,21.94,HTR,22.01,21.87,21.87,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,120147,12,7,32,22.01,21.94,21.94,CHL,22.01,22.06,22.06,CHL,22.01,22.00,22.00,CHL,22.01,21.87,21.87,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,125644,12,7,39,22.01,21.94,21.94,HTR,22.01,22.06,22.06,CHL,22.01,22.00,22.00,HTR,22.01,21.87,21.87,HTR,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,132026,12,7,44,22.01,21.94,21.94,HTR,22.01,22.06,22.06,CHL,22.01,22.00,22.00,HTR,22.01,21.94,21.94,CHL,
2019-01-27_IUI_NickCBASS_ramp1_1-4,2019_January_27,137517,12,7,49,22.01,21.94,21.94,HTR,22.01,22.06,22.06,CHL,22.01,22.06,22.06,CHL,22.01,21.94,21.94,HTR,
