Tank,Temp,Date
AQUA_225_TEMPERATURE_2,29.2,2019-01-21 16:55:09
AQUA_225_TEMPERATURE_2,29.1,2019-01-21 17:36:57
AQUA_225_TEMPERATURE_2,28.9,2019-01-21 18:18:45
AQUA_225_TEMPERATURE_2,29.1,2019-01-21 19:00:33
AQUA_225_TEMPERATURE_2,29,2019-01-21 19:42:21
AQUA_225_TEMPERATURE_2,28.6,2019-01-21 20:24:15
AQUA_225_TEMPERATURE_2,28.8,2019-01-21 21:05:57
AQUA_225_TEMPERATURE_2,28.6,2019-01-21 21:47:45
AQUA_225_TEMPERATURE_2,28.8,2019-01-21 22:29:39
AQUA_225_TEMPERATURE_2,28.7,2019-01-21 23:11:44
AQUA_225_TEMPERATURE_2,28.6,2019-01-21 23:53:55
AQUA_225_TEMPERATURE_2,28.8,2019-01-22 01:18:39
AQUA_225_TEMPERATURE_2,28.6,2019-01-22 02:00:44
AQUA_225_TEMPERATURE_2,28.8,2019-01-22 02:42:38
AQUA_225_TEMPERATURE_2,28.5,2019-01-22 03:24:20
AQUA_225_TEMPERATURE_2,28.7,2019-01-22 04:06:08
AQUA_225_TEMPERATURE_2,28.4,2019-01-22 04:47:56
AQUA_225_TEMPERATURE_2,28.8,2019-01-22 05:29:50
AQUA_225_TEMPERATURE_2,29,2019-01-22 06:11:55
AQUA_225_TEMPERATURE_2,28.7,2019-01-22 07:05:39
AQUA_225_TEMPERATURE_2,29.3,2019-01-22 07:47:44
AQUA_225_TEMPERATURE_2,29.1,2019-01-22 08:47:27
AQUA_225_TEMPERATURE_2,29.2,2019-01-22 09:28:29
AQUA_225_TEMPERATURE_2,29.1,2019-01-22 10:09:26
AQUA_225_TEMPERATURE_2,28.9,2019-01-22 10:50:17
AQUA_225_TEMPERATURE_2,29.7,2019-01-22 11:31:08
AQUA_225_TEMPERATURE_2,29.8,2019-01-22 12:12:05
AQUA_225_TEMPERATURE_2,30.2,2019-01-22 13:34:38
AQUA_225_TEMPERATURE_2,30.5,2019-01-22 14:16:09
AQUA_225_TEMPERATURE_2,30.4,2019-01-22 14:57:52
AQUA_225_TEMPERATURE_2,30.5,2019-01-22 15:39:40
AQUA_225_TEMPERATURE_2,30.6,2019-01-22 17:03:27
AQUA_225_TEMPERATURE_2,30.4,2019-01-22 18:27:03
AQUA_225_TEMPERATURE_2,30.1,2019-01-22 19:08:57
AQUA_225_TEMPERATURE_2,30.4,2019-01-22 19:50:56
AQUA_225_TEMPERATURE_2,30.5,2019-01-22 20:32:50
AQUA_225_TEMPERATURE_2,30.8,2019-01-22 21:14:55
AQUA_225_TEMPERATURE_2,30.7,2019-01-22 21:57:11
AQUA_225_TEMPERATURE_2,30.4,2019-01-22 22:39:28
AQUA_225_TEMPERATURE_2,30.2,2019-01-22 23:22:07
AQUA_225_TEMPERATURE_2,29.8,2019-01-23 00:47:42
AQUA_225_TEMPERATURE_2,29.9,2019-01-23 01:30:33
AQUA_225_TEMPERATURE_2,29.4,2019-01-23 02:13:29
AQUA_225_TEMPERATURE_2,29.2,2019-01-23 02:56:26
AQUA_225_TEMPERATURE_2,29.3,2019-01-23 03:39:05
AQUA_225_TEMPERATURE_2,29.4,2019-01-23 04:21:50
AQUA_225_TEMPERATURE_2,29.6,2019-01-23 05:04:35
AQUA_225_TEMPERATURE_2,29.5,2019-01-23 06:30:50
AQUA_225_TEMPERATURE_2,29.2,2019-01-23 07:14:09
AQUA_225_TEMPERATURE_2,29,2019-01-23 07:57:16
AQUA_225_TEMPERATURE_2,29.1,2019-01-23 08:40:30
AQUA_225_TEMPERATURE_2,29.3,2019-01-23 09:23:26
AQUA_225_TEMPERATURE_2,30.1,2019-01-23 15:21:54
AQUA_225_TEMPERATURE_2,30,2019-01-23 16:03:59
AQUA_225_TEMPERATURE_2,30.1,2019-01-23 16:46:04
AQUA_225_TEMPERATURE_2,30.3,2019-01-23 17:28:15
AQUA_225_TEMPERATURE_2,30.1,2019-01-23 18:10:37
AQUA_225_TEMPERATURE_2,30.5,2019-01-23 19:35:27
AQUA_225_TEMPERATURE_2,30.4,2019-01-23 20:18:01
AQUA_225_TEMPERATURE_2,30.3,2019-01-23 21:00:57
AQUA_225_TEMPERATURE_2,30.6,2019-01-23 21:43:53
AQUA_225_TEMPERATURE_2,30.7,2019-01-23 22:26:44
AQUA_225_TEMPERATURE_2,30.6,2019-01-23 23:09:51
AQUA_225_TEMPERATURE_2,30.8,2019-01-23 23:52:36
AQUA_225_TEMPERATURE_2,30.6,2019-01-24 00:35:27
AQUA_225_TEMPERATURE_2,30.8,2019-01-24 01:18:17
AQUA_225_TEMPERATURE_2,30.6,2019-01-24 02:01:08
AQUA_225_TEMPERATURE_2,30.8,2019-01-24 02:43:47
AQUA_225_TEMPERATURE_2,30.6,2019-01-24 03:26:26
AQUA_225_TEMPERATURE_2,30.9,2019-01-24 04:08:54
AQUA_225_TEMPERATURE_2,31,2019-01-24 04:51:05
AQUA_225_TEMPERATURE_2,30.9,2019-01-24 05:33:16
AQUA_225_TEMPERATURE_2,30.7,2019-01-24 06:15:27
AQUA_225_TEMPERATURE_2,30.9,2019-01-24 06:57:49
AQUA_225_TEMPERATURE_2,31,2019-01-24 07:40:00
AQUA_225_TEMPERATURE_2,31.3,2019-01-24 08:21:59
AQUA_225_TEMPERATURE_2,31.9,2019-01-24 09:45:52
AQUA_225_TEMPERATURE_2,31,2019-01-24 10:27:29
AQUA_225_TEMPERATURE_2,29.5,2019-01-24 11:09:11
AQUA_225_TEMPERATURE_2,29.6,2019-01-24 11:50:53
AQUA_225_TEMPERATURE_2,29.8,2019-01-24 12:32:53
AQUA_225_TEMPERATURE_2,29.5,2019-01-24 13:14:41
AQUA_225_TEMPERATURE_2,29.2,2019-01-24 13:56:40
AQUA_225_TEMPERATURE_2,29.1,2019-01-24 14:38:51
AQUA_225_TEMPERATURE_2,29.2,2019-01-24 15:21:02
AQUA_225_TEMPERATURE_2,29.5,2019-01-24 16:44:26
AQUA_225_TEMPERATURE_2,29.2,2019-01-24 18:07:22
AQUA_225_TEMPERATURE_2,29.5,2019-01-24 18:48:48
AQUA_225_TEMPERATURE_2,29.4,2019-01-24 19:30:13
AQUA_225_TEMPERATURE_2,29.6,2019-01-24 20:11:21
AQUA_225_TEMPERATURE_2,29.5,2019-01-24 21:33:32
AQUA_225_TEMPERATURE_2,29.4,2019-01-24 22:14:46
AQUA_225_TEMPERATURE_2,29,2019-01-24 22:56:28
AQUA_225_TEMPERATURE_2,28.8,2019-01-24 23:38:16
AQUA_225_TEMPERATURE_2,28.9,2019-01-25 00:19:59
AQUA_225_TEMPERATURE_2,28.8,2019-01-25 01:43:35
AQUA_225_TEMPERATURE_2,28.9,2019-01-25 02:25:23
AQUA_225_TEMPERATURE_2,29,2019-01-25 03:07:16
AQUA_225_TEMPERATURE_2,28.8,2019-01-25 05:13:14
AQUA_225_TEMPERATURE_2,28.7,2019-01-25 05:55:25
AQUA_225_TEMPERATURE_2,28.6,2019-01-25 07:19:52
AQUA_225_TEMPERATURE_2,29,2019-01-25 09:26:13
AQUA_225_TEMPERATURE_2,28.8,2019-01-25 10:17:07
AQUA_225_TEMPERATURE_2,29,2019-01-25 10:58:44
AQUA_225_TEMPERATURE_2,28.8,2019-01-25 11:40:20
AQUA_225_TEMPERATURE_2,28.9,2019-01-25 12:22:03
AQUA_225_TEMPERATURE_2,29,2019-01-25 13:03:45
AQUA_225_TEMPERATURE_2,28.9,2019-01-25 13:45:33
AQUA_225_TEMPERATURE_2,28.7,2019-01-25 14:27:21
