,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
Field,0.518198005,0.222163272,0.334850505,0.328914554,0.452948412,,,,,,,,,,,
T0,0.264709978,0.069149819,0.300775423,0.025493705,0.297895821,,,,,,,,,,,
27,0.024820670,0.020948070,0.094795710,0.053841210,0.060038670,,,,0.237869790,0.231489880,0.130956420,0.293885400,0.110039760,0.100115840,,0.101044680
29.5,0.051787600,0.017070420,0.013944900,0.102501950,0.112825110,0.029825530,0.010282560,0.069387430,0.045840280,0.041492520,0.009142930,0.109053750,0.055352720,0.154210060,,0.112677440
32,-0.033728000,-0.132313700,-0.092261500,-0.064970100,0.077187260,-0.034139300,-0.132171400,-0.082402000,-0.150214900,-0.078897500,-0.198497000,-0.101422200,-0.142780100,-0.191250100,,-0.026941200
34.5,-0.134509000,-0.132376300,-0.069849900,-0.114406100,-0.116759500,-0.128764400,-0.059213500,-0.175133000,,,-0.320411100,-0.221756800,-0.440207400,,-0.285140000,
