,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,-0.25319,-0.16178,,,-0.33216,,-0.59587,,-0.7951,,,-0.4599,,-0.5155,-0.6545,-0.5562
29.5,-0.17801,-0.13466,-0.21976,,-0.14182,-0.17097,-0.21016,-0.07603,-0.4918,,,,-0.284,-0.2059,-0.6398,
32,,-0.2248,,-0.03972,-0.07349,-0.09364,-0.32182,-0.03954,-0.6384,-0.2286,,-0.1933,-0.4453,-0.3405,-0.5521,-0.3948
34.5,-0.26082,-0.17097,,,-0.29994,-0.27002,-0.16525,-0.39887,,,,,,,,
