,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,CBASS,RSS,RSS,RSS,RSS,RSS,RSS,RSS,RSS
27,0.17862000,0.08591000,,,0.10449000,,0.29467000,,0.07993744,,,0.07197740,,0.31135175,0.23434997,0.12019138
29.5,0.20248000,0.03472000,0.08560000,,0.15062000,0.11556000,0.02949000,0.08171000,-0.00311060,,,,-0.05278180,0.06475183,0.03918952,
32,,0.05836000,,0.12806000,0.07124000,0.09678000,0.04096000,0.04979000,-0.09852050,0.09537508,,-0.02359690,-0.01618360,0.04527874,0.07486854,0.06749229
34.5,-0.09100000,-0.01379000,,,-0.21989000,-0.26630000,-0.10381000,-0.39802000,,,,,,,,
